internal_plan_code,display_plan_name,source_filename,section,benefit_name,coverage,notes
HN_CLASSIC_3,Classic Plan-3,MR.HUSSEIN CLASSIC 2@.xlsx,exclusion,17,Excluded,
HN_CLASSIC_3,Classic Plan-3,MR.HUSSEIN CLASSIC 2@.xlsx,exclusion,18,Excluded,
HN_CLASSIC_3,Classic Plan-3,MR.HUSSEIN CLASSIC 2@.xlsx,exclusion,19,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,general,Pre-existing & Chronic Conditions Subject to Medical Application Form (MAF),"Covered up to a limit of AED 150,000 per member per year",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,general,Claims Settlement Basis (After application of Copayments),Direct Billing Available. Reimbursement is also possible but will be settled at 80% of the usual & customary rates of the selected Network.,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,general,Life Threatening Emergency case within the area of coverage (to be notified within 24 hours of treatment if in a non-network provider),100% of incurred costs,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,general,"Cover within the scope of territory, for Elective and Emergency","When treatment received for emergency, accident or illnesses first arising after leaving U.A.E. whilst traveling on business or vacation for a maximum of 90 to 150 days within the geographical area, the country actual reasonable and customary prices will apply to inpatient and out -patient services.",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,inpatient,Room & Board,Private,Private
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,inpatient,"Tests, diagnosis, treatments and surgeries for Non-urgent cases Pre-approval is required for this benefit.",Covered,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,inpatient,Cash Indemnity for In-Patient hospitalizations that are not submitted to the Insurance Company,Covered on Reimbursement up to AED 250 per night and a maximum of 10 nights. The Cash Indemnity claim must be submitted within 15 days after discharge from the hospital with a proof of hospitalization including a discharge summary.,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,inpatient,Parent Accommodation for child under 16 years of age,Covered up to AED 150 / night,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,inpatient,The cost of accommodating a person accompanying an in-patient in the same room in cases of medical necessity at the recommendation of the treating doctor and after the prior approval of the insurance,Covered up to AED 150 / night,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,inpatient,Emergency road ambulance services to and from hospital by registered ambulance services provider,100% Covered,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,outpatient,"Examination, diagnostic and treatment by authorized general practitioners, specialist, and consultants. (Will not be applicable for follow-up visits within 7 days from the same treatment and with the ",20% up to AED 50/-,0
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,outpatient,Laboratory tests carried out in authorized facility,100% Covered,100% Covered
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,outpatient,"Radiology diagnostic services carried out in authorized facility. (Pre- approval required for Elective MRI, CT scans, Endoscopies)",100% Covered,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,outpatient,Physiotherapy Pre-approval is required for this benefit (as per policy conditions),20 sessions per member per annum,20 sessions per member per annum
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,outpatient,Prescribed Drugs and Medicines,"Covered up to AED 10,000 with Nil Co Insurance (Branded)","Covered up to AED 10,000 with Nil Co Insurance (Branded)"
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,preventive,Essential vaccinations and inoculations,Essential vaccinations and inoculations for newborns and children as stipulated in the DHAs policies and its updates in the assigned facilities (currently the same as Federal MOH) are covered,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,preventive,"Diabetes screening (Frequency restricted to: Diabetes: Every 3 years from age 30, High risk individuals annually from age 18)","Covered as per terms, conditions and exclusions of the program defined by DHA",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,preventive,Adult Pneumococcal Conjugate Vaccine,"Covered as per terms, conditions and exclusions of the program defined by DHA",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,preventive,Influenza Vaccine,Covered once per annum“Limited to the cost of the vaccine and its administration only”,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,preventive,Shingrix Vaccine (For NLSB members DXB visa holders),Covered only for members satisfying the eligibility criteria set by DHA. Limited to the cost of the vaccine and its administration only.,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,"Diagnostic and treatment services for dental and gum treatments (Emergency cases Only). Dental emergency is any injury to your teeth or gums that can put you at a risk of permanent damage, such as Chi",Subject to 20% coinsurance,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,"Hearing and vision aids, and vision correction by surgeries and laser (Emergency cases Only) Hearing Emergencies include Object/insect in the ear, ruptured eardrum, sudden hearing loss etc. Vision Eme",Subject to 20% coinsurance,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,"Cancer Screening & Treatment (Breast, Cervical & colorectal Covered under BASMAH patient support program .)","Covered as per terms, conditions and exclusions of the program defined by DHA",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,"Hepatitis B & C Virus (Screening and Treatment Screening, Healthcare Services, Investigations and Treatments only for members enrolled under Patient Support Program only)","Covered as per terms, conditions and exclusions of the program defined by DHA",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,Vitamins (If medically necessary in case of deficiency OR if prescribed by the treating physician),Covered,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,Alternative Medicines/ Therapies: Covers the following: Chiropractic/ Osteopathy/ Homeopathy and Ayurvedic. Alternative Treatment administered by registered & licensed Practitioner on reimbursement ba,"Covered up to AED 1,500/- with 20% Co Insurance",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,"Psychiatric Treatment and Mental Health Services, Inpatient, outpatient, emergency. No coinsurance if a follow-up visit made within seven days","Covered up to AED 1,500/- with 20% Coins",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,"Organ Transplant : Organ transplantation shall cover the organ transplantation as recipient excluding any cost related to donor, and excluding the acquisition and organ cost, Organs covered are: heart","Covered up to AED 150,000/-",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,Repatriation of Mortal Remains (Repatriation costs for the transport of mortal remains to the country of origin.),"Covered up to Maximum AED. 10,000 per person per annum (Settled on Reimbursement basis with no co-pay)",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,Home Nursing following inpatient treatment,Covered up to 6 weeks (on reimbusement),
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,Economy Return Air ticket (For Insured Member only): (Subject to prior approval from NGI for cost effective treatment).,100% Covered on Reimbursement,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,"Work Related Injuries for AUH only (Healthcare services for work illnesses and injuries as per Federal Law No. 8 of 1980 concerning the Regulation of Work Relations, as amended, and applicable laws in",Not Covered,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,Kidney Dialysis,"Covered up to AED 60,000/- with 20% Co Insurance on all OP Services (Coverage is provided in accordance with the terms, conditions, and exclusions defined by DHA and is applicable exclusively to Dubai visa holders only.)",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,Mental Health (Outpatient counselling),"Covered up to AED 800/- with 30% Co Insurance (Coverage is provided in accordance with the terms, conditions, and exclusions defined by DHA and is applicable exclusively to Dubai visa holders only.)",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,Second Medical Opinion,Covered,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,additional,Dental Benefit: •Routine oral examination and routine cleaning of teeth. Once only per policy year. •Extraction (removal of teeth) on the recommendation of a dentist. •Filling of decayed or fractured ,"Covered up to AED 1,500/- with 20% Co Insurance","Covered up to AED 1,500/- with 20% Co Insurance"
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,maternity,In-patient maternity services: (Requires prior approval from the insurance company or within 24 hours of emergency treatment).,"Covered with Nil co-insurance up payable by the insured) Normal Delivery: Aggregate Limit Per Year: AED.10,000 Medically necessary Cesarean Section, Complications & Medically Necessary Termination: Aggregate Limit Per Year: AED. 10,000",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,maternity,Out-patient maternity services:,"Covered subject to Nil coinsurance payable by the insured maximum 8 visits are allowed (as per applicable network); Initial investigations to include: · FBC and Platelets · Blood group, Rhesus status and antibodies · VDRL · MSU & urinalysis· Rubella serology· HIV · Hep C offered to high risk patients · GTT if high risk · FBS , random s or A1c for all due to high prevalence of diabetes in UAE Visits to include reviews, checks and tests in accordance with DHA Antenatal Care Protocols 8 ante-natal ",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,maternity,Newborn cover,"Coverage of a pregnant female is extended by the insurer to provide the same benefits for a newborn child of that female for a period up to 30 days from its date of birth. This cover is provided regardless of whether the newborn is eventually enrolled as a dependent member under the insurer’s policy. Covered under the mother’s card in event of Hospitalization, up to AED.150,000 PPPY",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,maternity,Personal Accident Coverage:(For Priamry Insured and Spouse) Accidental Death and Dismemberment (AD&D) Permanent Total Disability (PTD) Accidental Death (AD) on Common Carrier Permanent Partial Disabil,"Covered up to AED 50,000/- Covered up to AED 50,000/- Covered up to AED 100,000/- Covered As Per Continental Scale Covered up to AED 5,000/- Covered up to AED 5,000/-",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,maternity,Personal Accident Coverage:(For Children) Accidental Death and Dismemberment (AD&D) Permanent Partial Disability (PPD) Accidental Medical Reimbursement (AMR),"Covered up to AED 50,000/- Covered As Per Continental Scale Covered up to AED 2,500/-",
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,1-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,2-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,3-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,4-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,5-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,6-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,7-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,8-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,9-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,10-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,11-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,12-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,13-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,14-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,15-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,16-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,17-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,18-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,19-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,20-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,21-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,22-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,23-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,24-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,25-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,26-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,27-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,28-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,29-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,30-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,31-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,32-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,33-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,34-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,35-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,36-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,37-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,38-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,39-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,40-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,41-,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,"Healthcare services outside the scope of health insurance (In Emergency cases as defined by PD 02-2017, the following must be covered until stabilization at minimum)",Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,1 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,2 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,3 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,4 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,5 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,6 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,7 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,8 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,9 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,10 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,11 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,12 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,13 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,Standard Policy Exclusions (Valid for Abu Dhabi members only),Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,1 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,2 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,3 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,4 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,5 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,6 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,7 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,8 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,9 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,10 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,11 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,12 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,13 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,14 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,15 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,16 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,17 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,18 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,19 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,20 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,21 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,22 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,23 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,24 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,25 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,26 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,27 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,28 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,29 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,30 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,31 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,32 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,33 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,34 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,35 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,36 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,37 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,38 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,39 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,40 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,41 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,42 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,43 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,1 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,2 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,3 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,4 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,5 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,6 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,7 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,8 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,9 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,10 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,11 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,12 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,13 -,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,1,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,2,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,3,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,4,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,5,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,6,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,7,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,8,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,9,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,10,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,11,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,12,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,13,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,14,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,15,Excluded,
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,exclusion,16,Excluded,
